15.512954 1:0.529997 2:0.359809 3:0.258000 4:0.056763 5:0.083074 6:0.208826 7:0.251000 8:0.042990 9:0.091888 10:0.188866 11:0.244000 12:-0.012828 13:0.141369 14:0.112612 15:0.245000 16:-0.014881 17:0.142969 18:0.109851 19:0.671995 20:0.496966 21:0.311999 22:0.008675 23:0.258789 24:0.281289 25:0.305999 26:-0.007528 27:0.272066 28:0.252505 29:0.302999 30:-0.044931 31:0.306246 32:0.192215 33:0.303999 34:-0.047449 35:0.304530 36:0.185563 37:0.018470 38:4.945538 39:0.325247 40:-0.245835 41:0.504753 42:0.233333 
12.692084 1:0.470997 2:0.302185 3:0.230000 4:0.036709 5:0.067287 6:0.146553 7:0.228000 8:0.028380 9:0.076532 10:0.139142 11:0.221000 12:-0.004926 13:0.116584 14:0.105040 15:0.220000 16:-0.008203 17:0.115866 18:0.096939 19:0.592996 20:0.425836 21:0.278000 22:-0.014489 23:0.241137 24:0.203402 25:0.276000 26:-0.028766 27:0.255896 28:0.181302 29:0.272000 30:-0.007246 31:0.217034 32:0.198400 33:0.273000 34:-0.032304 35:0.243735 36:0.162283 37:0.012123 38:4.261570 39:0.380449 40:-0.291652 41:0.391752 42:0.061111 
65.231071 1:0.362999 2:0.229793 3:0.200000 4:0.050597 5:0.030667 6:0.141982 7:0.200000 8:0.002046 9:0.081136 10:0.085849 11:0.200000 12:-0.007541 13:0.071907 14:0.056689 15:0.200000 16:-0.012364 17:0.079037 18:0.053754 19:0.510997 20:0.379650 21:0.248000 22:0.029220 23:0.155066 24:0.234511 25:0.245000 26:-0.040675 27:0.259182 28:0.145554 29:0.238000 30:-0.029242 31:0.201194 32:0.125250 33:0.239000 34:-0.030293 35:0.202375 36:0.124092 37:0.017792 38:3.514354 39:0.534672 40:-0.023465 41:0.772382 42:0.088889 
29.392248 1:0.342999 2:0.201407 3:0.200000 4:0.015654 5:0.050812 6:0.082836 7:0.200000 8:0.038473 9:0.030002 10:0.106648 11:0.200000 12:-0.011224 13:0.067804 14:0.046506 15:0.200000 16:-0.001521 17:0.056321 18:0.053480 19:0.410998 20:0.295926 21:0.208000 22:-0.007712 23:0.153700 24:0.131632 25:0.208000 26:0.013194 27:0.113806 28:0.150054 29:0.205000 30:-0.029804 31:0.163612 32:0.083760 33:0.205000 34:-0.024747 35:0.157547 36:0.090822 37:0.009841 38:4.370044 39:0.191030 40:-0.205717 41:0.552674 42:0.116667 
3.889062 1:0.452997 2:0.342965 3:0.249000 4:0.087002 5:0.054788 6:0.252341 7:0.234000 8:-0.024770 9:0.165047 10:0.105350 11:0.233000 12:-0.037748 13:0.187367 14:0.094731 15:0.233000 16:-0.032944 17:0.179843 18:0.099174 19:0.515997 20:0.432127 21:0.273000 22:0.054782 23:0.158512 24:0.304928 25:0.271000 26:-0.101266 27:0.372857 28:0.104853 29:0.267000 30:-0.068799 31:0.316170 32:0.132939 33:0.266000 34:-0.059887 35:0.298173 36:0.139387 37:0.009996 38:3.974839 39:0.335475 40:0.012267 41:0.259476 42:0.022222 
22.461159 1:0.359999 2:0.200993 3:0.200000 4:0.030248 5:0.031055 6:0.088087 7:0.200000 8:0.033623 9:0.027130 10:0.089244 11:0.200000 12:0.001613 13:0.044324 14:0.047073 15:0.200000 16:0.001379 17:0.044485 18:0.046834 19:0.468997 20:0.311513 21:0.224000 22:0.005078 23:0.122598 24:0.135233 25:0.223000 26:0.001823 27:0.125046 28:0.129577 29:0.219000 30:-0.016459 31:0.137007 32:0.097070 33:0.218000 34:-0.018737 35:0.142163 36:0.096092 37:0.013932 38:4.642676 39:0.280982 40:0.084401 41:0.605707 42:0.216667 
35.599670 1:0.357999 2:0.222031 3:0.200000 4:0.021325 5:0.055126 6:0.102268 7:0.200000 8:0.025959 9:0.052511 10:0.110643 11:0.200000 12:-0.006449 13:0.068929 14:0.056092 15:0.200000 16:-0.004531 17:0.066950 18:0.057929 19:0.476997 20:0.355610 21:0.230000 22:-0.003948 23:0.169048 24:0.158309 25:0.234000 26:0.002749 27:0.170815 28:0.178391 29:0.227000 30:-0.022893 31:0.178886 32:0.118898 33:0.227000 34:-0.020803 35:0.177172 36:0.122442 37:0.018536 38:4.215040 39:0.440235 40:-0.163238 41:0.662248 42:0.150000 
11.714567 1:0.474997 2:0.315995 3:0.253000 4:0.101794 5:0.032141 6:0.238148 7:0.229000 8:-0.026422 9:0.144109 10:0.084297 11:0.229000 12:-0.047968 13:0.165171 14:0.059698 15:0.229000 16:-0.034304 17:0.146589 18:0.071268 19:0.557996 20:0.386751 21:0.284000 22:0.088918 23:0.085444 24:0.284409 25:0.263000 26:-0.070412 27:0.261701 28:0.093773 29:0.264000 30:-0.073001 31:0.244762 32:0.079884 33:0.263000 34:-0.066321 35:0.238176 36:0.086801 37:0.013227 38:4.196681 39:0.381081 40:1.413593 41:0.417794 42:0.055556 
48.401722 1:0.290000 2:0.133998 3:0.200000 4:0.029101 5:0.012205 6:0.051290 7:0.200000 8:0.038999 9:0.008817 10:0.062176 11:0.200000 12:0.010682 13:0.015168 14:0.027470 15:0.200000 16:0.010710 17:0.015340 18:0.027738 19:0.382998 20:0.251809 21:0.200000 22:-0.002629 23:0.111268 24:0.104386 25:0.200000 26:0.020400 27:0.084598 28:0.138513 29:0.200000 30:-0.025876 31:0.119158 32:0.058588 33:0.200000 34:-0.021376 35:0.112174 36:0.062358 37:0.017241 38:4.239690 39:0.404607 40:-0.042755 41:0.691984 42:0.172222 
70.949089 1:0.251000 2:0.080594 3:0.200000 4:0.030210 5:0.001656 6:0.025958 7:0.200000 8:0.028101 9:0.002062 10:0.024783 11:0.200000 12:0.018240 13:0.003027 14:0.016314 15:0.200000 16:0.018348 17:0.003000 18:0.016360 19:0.345999 20:0.174167 21:0.200000 22:0.029943 23:0.023495 24:0.074332 25:0.200000 26:0.025564 27:0.026106 28:0.069419 29:0.200000 30:0.006039 31:0.033009 32:0.042334 33:0.200000 34:0.005655 35:0.033358 36:0.042100 37:0.013323 38:4.683816 39:0.264934 40:0.103494 41:0.575153 42:0.205556 
63.644936 1:0.331999 2:0.180490 3:0.200000 4:0.010955 5:0.048218 6:0.069303 7:0.200000 8:0.055186 9:0.010107 10:0.102724 11:0.200000 12:-0.006214 13:0.044988 14:0.035094 15:0.200000 16:-0.001385 17:0.040274 18:0.038089 19:0.446998 20:0.298078 21:0.222000 22:-0.012297 23:0.164696 24:0.131593 25:0.225000 26:0.031057 27:0.108575 28:0.190613 29:0.220000 30:-0.052525 31:0.180186 32:0.056900 33:0.219000 34:-0.037197 35:0.157319 36:0.069820 37:0.013589 38:4.745160 39:0.263649 40:-0.306292 41:0.571765 42:0.222222 
75.200851 1:0.307999 2:0.149905 3:0.200000 4:0.029317 5:0.013656 6:0.054625 7:0.200000 8:0.054571 9:0.003543 10:0.076757 11:0.200000 12:0.019331 13:0.012810 14:0.036190 15:0.200000 16:0.018468 17:0.013257 18:0.035629 19:0.436998 20:0.297981 21:0.213000 22:-0.004370 23:0.145435 24:0.133424 25:0.218000 26:0.049536 27:0.071259 28:0.197339 29:0.210000 30:-0.019877 31:0.127813 32:0.080120 33:0.210000 34:-0.024091 35:0.133295 36:0.075544 37:0.017606 38:4.686046 39:0.397909 40:0.206735 41:0.469406 42:0.138889 
23.258787 1:0.358999 2:0.241665 3:0.200000 4:0.080774 5:0.015165 6:0.198131 7:0.200000 8:-0.033833 9:0.133167 10:0.052928 11:0.200000 12:-0.030826 13:0.117037 14:0.048062 15:0.200000 16:-0.034694 17:0.123696 18:0.045545 19:0.437998 20:0.328715 21:0.233000 22:0.066983 23:0.073267 24:0.242678 25:0.226000 26:-0.083093 27:0.282253 28:0.060631 29:0.223000 30:-0.055087 31:0.218371 32:0.075831 33:0.223000 34:-0.057563 35:0.224238 36:0.074521 37:0.010247 38:3.933559 39:0.231072 40:0.066827 41:0.584007 42:0.105556 
76.286751 1:0.261000 2:0.092346 3:0.200000 4:0.039632 5:0.001220 6:0.037211 7:0.200000 8:0.028424 9:0.002697 10:0.027303 11:0.200000 12:0.021370 13:0.003080 14:0.019791 15:0.200000 16:0.020699 17:0.003316 18:0.019627 19:0.355999 20:0.197147 21:0.200000 22:0.040389 23:0.026448 24:0.104731 25:0.200000 26:0.012260 27:0.046770 28:0.070296 29:0.200000 30:0.001256 31:0.046858 32:0.049050 33:0.200000 34:0.000851 35:0.046518 36:0.047993 37:0.014346 38:4.056043 39:0.367762 40:-0.056585 41:0.551086 42:0.100000 
52.785637 1:0.383998 2:0.234787 3:0.200000 4:0.017217 5:0.069066 6:0.109848 7:0.200000 8:0.036274 9:0.048382 10:0.132897 11:0.200000 12:-0.019626 13:0.085963 14:0.046209 15:0.200000 16:-0.012236 17:0.075910 18:0.051412 19:0.508997 20:0.351309 21:0.246000 22:-0.011012 23:0.202368 24:0.172609 25:0.249000 26:0.014539 27:0.180320 28:0.220405 29:0.246000 30:-0.071011 31:0.233441 32:0.068320 33:0.244000 34:-0.053925 35:0.213378 36:0.085289 37:0.013666 38:4.774294 39:0.264329 40:-0.289165 41:0.540332 42:0.211111 
8.613512 1:0.561996 2:0.382078 3:0.271000 4:0.062504 5:0.086655 6:0.222215 7:0.265000 8:0.049559 9:0.094694 10:0.203559 11:0.258000 12:-0.012949 13:0.157848 14:0.128740 15:0.258000 16:-0.014721 17:0.159356 18:0.126331 19:0.691994 20:0.512524 21:0.318999 22:0.004596 23:0.277773 24:0.289773 25:0.313999 26:-0.013622 27:0.292876 28:0.257410 29:0.311999 30:-0.048066 31:0.324371 32:0.202098 33:0.312999 34:-0.049044 35:0.320295 36:0.197002 37:0.018324 38:4.950355 39:0.324203 40:-0.243052 41:0.502428 42:0.233333 
25.854248 1:0.333999 2:0.216900 3:0.200000 4:0.080691 5:0.010903 6:0.181529 7:0.200000 8:-0.039231 9:0.130511 10:0.041978 11:0.200000 12:-0.031671 13:0.106143 14:0.039822 15:0.200000 16:-0.035380 17:0.112154 18:0.037584 19:0.416998 20:0.308732 21:0.225000 22:0.074375 23:0.052677 24:0.236159 25:0.217000 26:-0.080514 27:0.271339 28:0.053435 29:0.214000 30:-0.050768 31:0.200009 32:0.068340 33:0.214000 34:-0.052627 35:0.204242 36:0.067249 37:0.010706 38:3.927842 39:0.249585 40:0.054698 41:0.532089 42:0.088889 
65.857574 1:0.254000 2:0.087482 3:0.200000 4:0.020059 5:0.010008 6:0.032400 7:0.200000 8:0.026406 9:0.004713 10:0.030244 11:0.200000 12:0.004151 13:0.012237 14:0.016172 15:0.200000 16:0.013038 17:0.007251 18:0.018802 19:0.306999 20:0.164080 21:0.200000 22:0.016184 23:0.049020 24:0.081747 25:0.200000 26:0.004327 27:0.050949 28:0.059034 29:0.200000 30:-0.009288 31:0.050603 32:0.035318 33:0.200000 34:-0.007227 35:0.049315 36:0.037351 37:0.012716 38:4.526453 39:0.212712 40:0.768050 41:0.734103 42:0.288889 
26.960367 1:0.363999 2:0.217769 3:0.200000 4:0.033469 5:0.045506 6:0.120223 7:0.200000 8:0.014128 9:0.051871 10:0.080694 11:0.200000 12:-0.009582 13:0.064720 14:0.046746 15:0.200000 16:-0.010755 17:0.066250 18:0.046019 19:0.468997 20:0.325042 21:0.232000 22:0.028786 23:0.123151 24:0.199605 25:0.227000 26:-0.033577 27:0.204695 28:0.114131 29:0.225000 30:-0.040262 31:0.177298 32:0.079661 33:0.225000 34:-0.042171 35:0.179717 36:0.077575 37:0.014692 38:4.174170 39:0.402212 40:-0.036386 41:0.533844 42:0.088889 
75.781128 1:0.284000 2:0.138508 3:0.200000 4:0.029769 5:0.017062 6:0.062143 7:0.200000 8:0.012559 9:0.036335 10:0.057926 11:0.200000 12:0.000339 13:0.030866 14:0.031343 15:0.200000 16:-0.007630 17:0.040079 18:0.028826 19:0.386998 20:0.253397 21:0.200000 22:-0.005958 23:0.117616 24:0.101891 25:0.200000 26:0.001255 27:0.118971 28:0.122447 29:0.200000 30:-0.018537 31:0.109401 32:0.065982 33:0.200000 34:-0.015689 35:0.108480 36:0.071196 37:0.016824 38:4.058039 39:0.465970 40:-0.180788 41:0.518600 42:0.083333 
43.696255 1:0.447998 2:0.289221 3:0.218000 4:0.031051 5:0.067682 6:0.137852 7:0.225000 8:0.064327 9:0.036407 10:0.170246 11:0.213000 12:0.001558 13:0.076546 14:0.079752 15:0.213000 16:-0.002743 17:0.081240 18:0.075586 19:0.600996 20:0.447439 21:0.279000 22:-0.009661 23:0.237376 24:0.212147 25:0.282000 26:0.026619 27:0.199745 28:0.269925 29:0.277000 30:-0.037369 31:0.253591 32:0.159937 33:0.278000 34:-0.046919 35:0.265360 36:0.148552 37:0.016708 38:4.764930 39:0.385126 40:0.188246 41:0.439758 42:0.138889 
54.174248 1:0.266000 2:0.112846 3:0.200000 4:0.033850 5:0.008088 6:0.050563 7:0.200000 8:0.024459 9:0.013554 10:0.045761 11:0.200000 12:0.009247 13:0.014228 14:0.024380 15:0.200000 16:0.008666 17:0.014393 18:0.023875 19:0.325999 20:0.208419 21:0.200000 22:0.002993 23:0.084085 24:0.091145 25:0.200000 26:-0.004283 27:0.101890 28:0.091283 29:0.200000 30:-0.012595 31:0.084644 32:0.057953 33:0.200000 34:-0.015267 35:0.087899 36:0.055518 37:0.014102 38:3.779135 39:0.445316 40:-0.452478 41:0.542297 42:0.066667 
67.696777 1:0.277000 2:0.132479 3:0.200000 4:0.053477 5:0.006527 6:0.086408 7:0.200000 8:0.007839 9:0.024649 10:0.035436 11:0.200000 12:0.001770 13:0.022855 14:0.025039 15:0.200000 16:0.005403 17:0.019820 18:0.026347 19:0.345999 20:0.239741 21:0.200000 22:0.055987 23:0.041655 24:0.182556 25:0.200000 26:-0.042999 27:0.179071 28:0.063389 29:0.200000 30:-0.043590 31:0.149777 32:0.045478 33:0.200000 34:-0.036741 35:0.137376 36:0.050260 37:0.011453 38:3.903880 39:0.387793 40:0.019411 41:0.326716 42:0.033333 
71.619705 1:0.333999 2:0.183268 3:0.200000 4:0.055016 5:0.008938 6:0.098496 7:0.200000 8:0.044431 9:0.012855 10:0.084383 11:0.200000 12:0.021820 13:0.016245 14:0.045982 15:0.200000 16:0.021046 17:0.017024 18:0.045955 19:0.455997 20:0.339501 21:0.235000 22:0.033785 23:0.129930 24:0.222161 25:0.224000 26:0.010404 27:0.142570 28:0.171102 29:0.223000 30:-0.034367 31:0.180424 32:0.093041 33:0.224000 34:-0.032662 35:0.177015 36:0.094572 37:0.013926 38:4.061121 39:0.388642 40:0.038775 41:0.553748 42:0.088889 
74.145645 1:0.280000 2:0.120825 3:0.200000 4:0.041065 5:0.005465 6:0.056461 7:0.200000 8:0.034142 9:0.005595 10:0.044475 11:0.200000 12:0.016312 13:0.008746 14:0.025134 15:0.200000 16:0.016262 17:0.008768 18:0.025109 19:0.357999 20:0.210333 21:0.200000 22:0.022212 23:0.058735 24:0.109489 25:0.200000 26:0.020637 27:0.053746 28:0.098654 29:0.200000 30:-0.016616 31:0.078922 32:0.046095 33:0.200000 34:-0.015658 35:0.077873 36:0.046934 37:0.011765 38:3.990423 39:0.292750 40:0.811589 41:0.467645 42:0.061111 
73.091743 1:0.290000 2:0.124115 3:0.200000 4:0.033508 5:0.006399 6:0.045606 7:0.200000 8:0.036045 9:0.006961 10:0.051580 11:0.200000 12:0.015073 13:0.010314 14:0.026128 15:0.200000 16:0.014300 17:0.010687 18:0.025722 19:0.400998 20:0.240056 21:0.200000 22:0.015306 23:0.074300 24:0.111283 25:0.202000 26:0.024569 27:0.065780 28:0.124716 29:0.200000 30:-0.012876 31:0.084801 32:0.057543 33:0.200000 34:-0.015945 35:0.088827 36:0.054981 37:0.011897 38:4.427881 39:0.359285 40:0.226700 41:0.338002 42:0.066667 
48.088947 1:0.288000 2:0.129710 3:0.200000 4:0.029678 5:0.011068 6:0.049955 7:0.200000 8:0.037713 9:0.008369 10:0.058471 11:0.200000 12:0.010871 13:0.014337 14:0.026592 15:0.200000 16:0.010888 17:0.014527 18:0.026872 19:0.380998 20:0.247014 21:0.200000 22:0.001578 23:0.100640 24:0.104671 25:0.200000 26:0.020334 27:0.081025 28:0.133738 29:0.200000 30:-0.025415 31:0.114717 32:0.056356 33:0.200000 34:-0.020273 35:0.106614 36:0.060373 37:0.017128 38:4.239680 39:0.402005 40:-0.043027 41:0.692174 42:0.172222 
77.325111 1:0.285000 2:0.120907 3:0.200000 4:0.033050 5:0.006442 6:0.044945 7:0.200000 8:0.035454 9:0.006760 10:0.049973 11:0.200000 12:0.014396 13:0.010273 14:0.025199 15:0.200000 16:0.013545 17:0.010678 18:0.024750 19:0.387998 20:0.231905 21:0.200000 22:0.014371 23:0.073393 24:0.107711 25:0.200000 26:0.021805 27:0.066328 28:0.118651 29:0.200000 30:-0.014143 31:0.082980 32:0.053678 33:0.200000 34:-0.017855 35:0.087872 36:0.050743 37:0.011907 38:4.427380 39:0.359722 40:0.226694 41:0.338144 42:0.066667 
13.501078 1:0.289000 2:0.152596 3:0.200000 4:0.042720 5:0.014977 6:0.085653 7:0.200000 8:-0.015788 9:0.066627 10:0.038099 11:0.200000 12:0.011420 13:0.033622 14:0.052387 15:0.200000 16:-0.033603 17:0.080823 18:0.022605 19:0.342999 20:0.215006 21:0.200000 22:0.012756 23:0.072811 24:0.102837 25:0.200000 26:-0.048870 27:0.175169 28:0.050057 29:0.200000 30:-0.013660 31:0.098869 32:0.067592 33:0.200000 34:-0.030256 35:0.117101 36:0.049105 37:0.012163 38:4.092139 39:0.340320 40:-0.049779 41:0.478325 42:0.066667 
20.523073 1:0.344999 2:0.226387 3:0.200000 4:0.023715 5:0.069546 6:0.128340 7:0.200000 8:0.014338 9:0.080152 10:0.115778 11:0.200000 12:-0.021695 13:0.098808 14:0.051921 15:0.200000 16:-0.029383 17:0.109662 18:0.045809 19:0.432998 20:0.321963 21:0.222000 22:-0.008582 23:0.180977 24:0.156305 25:0.218000 26:-0.018529 27:0.204071 28:0.148555 29:0.217000 30:-0.042237 31:0.207411 32:0.092067 33:0.218000 34:-0.049448 35:0.216104 36:0.082888 37:0.011081 38:3.529483 39:0.412461 40:-0.141793 41:0.417471 42:0.027778 
51.011387 1:0.305999 2:0.154038 3:0.200000 4:0.023984 5:0.030600 6:0.073187 7:0.200000 8:0.022851 9:0.024161 10:0.060775 11:0.200000 12:-0.002936 13:0.034744 14:0.030519 15:0.200000 16:-0.004624 17:0.036458 18:0.029759 19:0.395998 20:0.252767 21:0.200000 22:0.013850 23:0.098763 24:0.136509 25:0.200000 26:-0.014278 27:0.131979 28:0.093865 29:0.200000 30:-0.027124 31:0.122452 32:0.058474 33:0.200000 34:-0.029019 35:0.125342 36:0.056818 37:0.015217 38:4.214366 39:0.395963 40:0.004638 41:0.571592 42:0.105556 
62.475971 1:0.200000 2:0.076466 3:0.200000 4:0.013059 5:0.010187 6:0.023404 7:0.200000 8:0.007638 9:0.011028 10:0.018350 11:0.200000 12:-0.005840 13:0.015431 14:0.010189 15:0.200000 16:-0.004977 17:0.014704 18:0.010286 19:0.222000 20:0.122926 21:0.200000 22:-0.000087 23:0.046071 24:0.045922 25:0.200000 26:-0.006898 27:0.046452 28:0.035356 29:0.200000 30:-0.019751 31:0.050316 32:0.021195 33:0.200000 34:-0.020504 35:0.050289 36:0.020313 37:0.009685 38:3.077678 39:0.246952 40:-0.025874 41:0.490079 42:0.027778 
46.039742 1:0.273000 2:0.120021 3:0.200000 4:0.029224 5:0.015378 6:0.057840 7:0.200000 8:0.017175 9:0.018772 10:0.042220 11:0.200000 12:0.000156 13:0.022617 14:0.022804 15:0.200000 16:0.001483 17:0.021163 18:0.022917 19:0.314999 20:0.192802 21:0.200000 22:0.033039 23:0.043320 24:0.115486 25:0.200000 26:-0.005353 27:0.088213 28:0.075994 29:0.200000 30:-0.022126 31:0.084231 32:0.040816 33:0.200000 34:-0.022703 35:0.087335 36:0.042037 37:0.010568 38:4.411247 39:0.161600 40:0.576343 41:0.734387 42:0.250000 
41.284027 1:0.248000 2:0.084020 3:0.200000 4:0.028951 5:0.003450 6:0.030324 7:0.200000 8:0.025638 9:0.003927 10:0.027180 11:0.200000 12:0.015205 13:0.005548 14:0.018250 15:0.200000 16:0.012908 17:0.006469 18:0.017393 19:0.289000 20:0.145338 21:0.200000 22:0.031774 23:0.017236 24:0.066533 25:0.200000 26:0.019339 27:0.026980 28:0.058247 29:0.200000 30:0.007541 31:0.031761 32:0.043378 33:0.200000 34:-0.000462 35:0.038694 36:0.037972 37:0.010705 38:3.584342 39:0.385874 40:-0.340738 41:0.322062 42:0.022222 
